[20/Jul/2019:07:55:55 +0800] http-nio-8888-exec-1 | HTTP/1.1 GET 0:0:0:0:0:0:0:1 http-nio-8888-exec-1 |1591 localhost http-nio-8888-exec-1 |8888 total time |30196 | Status |500
[20/Jul/2019:09:27:01 +0800] http-nio-8888-exec-6 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |6 |Status |201
[20/Jul/2019:09:27:04 +0800] http-nio-8888-exec-7 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |6 |Status |201
[20/Jul/2019:09:27:47 +0800] http-nio-8888-exec-8 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |7 |Status |405
[20/Jul/2019:09:27:54 +0800] http-nio-8888-exec-9 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |6 |Status |200
[20/Jul/2019:09:28:00 +0800] http-nio-8888-exec-10 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |5 |Status |200
[20/Jul/2019:09:28:04 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |6 |Status |200
[20/Jul/2019:09:28:09 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:2853 |localhost:8888 |total time |11 |Status |500
[20/Jul/2019:10:17:48 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |127.0.0.1:3454 |127.0.0.1:8888 |total time |94 |Status |404
[20/Jul/2019:10:17:48 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |127.0.0.1:3454 |127.0.0.1:8888 |total time |26 |Status |200
[20/Jul/2019:10:17:54 +0800] http-nio-8888-exec-3 |HTTP/1.1 GET |127.0.0.1:3454 |127.0.0.1:8888 |total time |19 |Status |404
[20/Jul/2019:10:18:07 +0800] http-nio-8888-exec-4 |HTTP/1.1 GET |127.0.0.1:3454 |127.0.0.1:8888 |total time |23 |Status |404
[20/Jul/2019:10:18:12 +0800] http-nio-8888-exec-5 |HTTP/1.1 GET |127.0.0.1:3454 |127.0.0.1:8888 |total time |12 |Status |404
[20/Jul/2019:10:19:22 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |127.0.0.1:3467 |127.0.0.1:8888 |total time |43 |Status |200
[20/Jul/2019:10:19:36 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |9 |Status |200
[20/Jul/2019:10:20:02 +0800] http-nio-8888-exec-3 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |28 |Status |200
[20/Jul/2019:10:20:20 +0800] http-nio-8888-exec-4 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |7 |Status |200
[20/Jul/2019:10:20:46 +0800] http-nio-8888-exec-6 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |813 |Status |200
[20/Jul/2019:10:21:13 +0800] http-nio-8888-exec-7 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |18 |Status |200
[20/Jul/2019:10:21:44 +0800] http-nio-8888-exec-8 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |7 |Status |200
[20/Jul/2019:10:21:59 +0800] http-nio-8888-exec-9 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |26 |Status |200
[20/Jul/2019:10:22:08 +0800] http-nio-8888-exec-10 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |4 |Status |200
[20/Jul/2019:10:22:28 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |45 |Status |200
[20/Jul/2019:10:22:38 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |127.0.0.1:3468 |127.0.0.1:8888 |total time |5 |Status |200
[20/Jul/2019:10:36:21 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3560 |localhost:8888 |total time |68 |Status |200
[20/Jul/2019:10:38:05 +0800] http-nio-8888-exec-5 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3598 |localhost:8888 |total time |8 |Status |200
[20/Jul/2019:10:40:55 +0800] http-nio-8888-exec-8 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3603 |localhost:8888 |total time |6 |Status |200
[20/Jul/2019:10:42:02 +0800] http-nio-8888-exec-10 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3622 |localhost:8888 |total time |8 |Status |200
[20/Jul/2019:10:42:02 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3622 |localhost:8888 |total time |7 |Status |200
[20/Jul/2019:10:43:30 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3660 |localhost:8888 |total time |189 |Status |200
[20/Jul/2019:10:44:39 +0800] http-nio-8888-exec-3 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3712 |localhost:8888 |total time |10 |Status |200
[20/Jul/2019:10:46:03 +0800] http-nio-8888-exec-5 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3732 |localhost:8888 |total time |8 |Status |200
[20/Jul/2019:10:46:37 +0800] http-nio-8888-exec-6 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3732 |localhost:8888 |total time |8 |Status |200
[20/Jul/2019:10:53:03 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3961 |localhost:8888 |total time |302 |Status |200
[20/Jul/2019:10:53:14 +0800] http-nio-8888-exec-3 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3971 |localhost:8888 |total time |12 |Status |200
[20/Jul/2019:14:04:29 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6416 |localhost:8888 |total time |348 |Status |200
[20/Jul/2019:14:07:37 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6484 |localhost:8888 |total time |33 |Status |200
[20/Jul/2019:14:07:49 +0800] http-nio-8888-exec-3 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6484 |localhost:8888 |total time |8 |Status |200
[20/Jul/2019:14:07:58 +0800] http-nio-8888-exec-4 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6484 |localhost:8888 |total time |7 |Status |200
[20/Jul/2019:14:10:42 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6548 |localhost:8888 |total time |326 |Status |200
[20/Jul/2019:14:12:25 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6571 |localhost:8888 |total time |19 |Status |200
[20/Jul/2019:14:21:25 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6676 |localhost:8888 |total time |336 |Status |200
[20/Jul/2019:14:24:18 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6758 |localhost:8888 |total time |296 |Status |200
[20/Jul/2019:14:25:30 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6786 |localhost:8888 |total time |20 |Status |200
[20/Jul/2019:14:26:20 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6826 |localhost:8888 |total time |18 |Status |200
[20/Jul/2019:14:27:13 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6846 |localhost:8888 |total time |17 |Status |200
[20/Jul/2019:14:27:23 +0800] http-nio-8888-exec-3 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6846 |localhost:8888 |total time |7 |Status |200
[20/Jul/2019:14:27:28 +0800] http-nio-8888-exec-4 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6846 |localhost:8888 |total time |8 |Status |200
[20/Jul/2019:14:27:38 +0800] http-nio-8888-exec-5 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6846 |localhost:8888 |total time |38 |Status |500
[20/Jul/2019:14:33:01 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:6905 |localhost:8888 |total time |25 |Status |500
[20/Jul/2019:14:38:39 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |127.0.0.1:7022 |localhost:8888 |total time |348 |Status |200
[20/Jul/2019:14:38:41 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |127.0.0.1:7022 |localhost:8888 |total time |7 |Status |200
[20/Jul/2019:14:46:24 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:7182 |localhost:8888 |total time |285 |Status |200
[20/Jul/2019:15:09:14 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:7554 |localhost:8888 |total time |155 |Status |200
[20/Jul/2019:15:23:34 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:8016 |localhost:8888 |total time |155 |Status |200
[20/Jul/2019:15:28:05 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:8129 |localhost:8888 |total time |149 |Status |200
[20/Jul/2019:15:28:59 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:8157 |localhost:8888 |total time |44 |Status |200
[20/Jul/2019:15:36:00 +0800] http-nio-8888-exec-2 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:8269 |localhost:8888 |total time |78 |Status |201
[20/Jul/2019:15:36:46 +0800] http-nio-8888-exec-1 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:8284 |localhost:8888 |total time |20 |Status |201
[20/Jul/2019:15:38:37 +0800] http-nio-8888-exec-5 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:8299 |localhost:8888 |total time |16 |Status |200
[20/Jul/2019:15:38:58 +0800] http-nio-8888-exec-6 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:8299 |localhost:8888 |total time |9 |Status |200
[20/Jul/2019:21:23:37 +0800] http-nio-8888-exec-2 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:2570 |localhost:8888 |total time |199 |Status |201
[20/Jul/2019:21:55:21 +0800] http-nio-8888-exec-1 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:3049 |localhost:8888 |total time |224 |Status |201
[20/Jul/2019:22:38:35 +0800] http-nio-8888-exec-1 |HTTP/1.1 POST |0:0:0:0:0:0:0:1:3481 |localhost:8888 |total time |251 |Status |201
[20/Jul/2019:22:51:11 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3645 |localhost:8888 |total time |179 |Status |200
[20/Jul/2019:22:51:52 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3656 |localhost:8888 |total time |37 |Status |200
[20/Jul/2019:22:53:38 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3685 |localhost:8888 |total time |21 |Status |200
[20/Jul/2019:22:58:27 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET |0:0:0:0:0:0:0:1:3786 |localhost:8888 |total time |21 |Status |200
[20/Jul/2019:23:00:28 +0800] http-nio-8888-exec-2 |HTTP/1.1 GET /students/10001 |0:0:0:0:0:0:0:1:3835 |localhost:8888 |total time |28 |Status |200
[20/Jul/2019:23:45:05 +0800] http-nio-8888-exec-1 |HTTP/1.1 GET /students/10001 |0:0:0:0:0:0:0:1:4423 |localhost:8888 |total time |171 |Status |200
